id,name,host_id,neighbourhood,latitude,longitude,room_type,price
109,Amazing bright elegant condo park front *UPGRADED*,521,Culver City,33.98209,-118.38493999999999,Entire home/apt,115
344,Family perfect;Pool;Near Studios!,767,Burbank,34.165620000000004,-118.33458,Entire home/apt,176
2708,Beautiful Furnish Mirrored Mini-Suite w/ Fireplace,3008,Hollywood,34.09768,-118.34602,Private room,74
2732,Zen Life at the Beach,3041,Santa Monica,34.00475,-118.48127,Private room,155
2864,* Beautiful Master Suite/Jacuzzi Tub/*,3207,Bellflower,33.87619,-118.11397,Entire home/apt,50
5728,Tiny Home in Artistic Oasis near Venice and LAX,9171,Del Rey,33.9875,-118.432,Private room,55
5729,Zen Room with Floating Bed near Venice and LAX,9171,Del Rey,33.9875,-118.432,Private room,70
5843,Artist Oasis near Venice Beach w/ Beautiful Garden,9171,Del Rey,33.9875,-118.432,Entire home/apt,130
6931,Beau Furn Rm  Dres Rm/Wlk-In Clst Terr. Runyon Vw,3008,Hollywood,34.095209999999994,-118.34801000000002,Private room,79
7874,"2nd story, tile floor bedroom w/ shared bathroom.",21700,Bellflower,33.8761,-118.11509,Private room,45
7992,"Quiet,Walkable Area/Sanitized,New Kitchen,CozySpot",22363,Atwater Village,34.115429999999996,-118.2609,Entire home/apt,72
8770,Cozy Guest House on Venice Walk St.,26996,Venice,33.993990000000004,-118.45636999999999,Entire home/apt,122
9140,City Place Lofts,28350,Long Beach,33.772059999999996,-118.18893,Private room,80
9376,"Bright Apt, walk to Venice Beach",30319,Venice,33.99638,-118.47733999999998,Private room,85
9545,Burnham Beach Hse Retreat,31306,Redondo Beach,33.838229999999996,-118.38569,Private room,50
10760,CASAMIGOS,38596,Mid-Wilshire,34.05437,-118.35641000000001,Private room,74
11374,Budget hotel in Los Angeles,42220,Gardena,33.90348,-118.29269,Private room,81
11511,Craftsman Duplex-Hollywood!,40884,Hollywood Hills,34.11479,-118.32288999999999,Entire home/apt,195
11877,Le petit bungalow private entrance + bikes in VB,30484,Venice,33.99753,-118.47226,Entire home/apt,73
12320,1930's Spanish Duplex on 9th St,47757,Mid-Wilshire,34.058640000000004,-118.34352,Entire home/apt,155
13776,Burnham Beach Cottage 1,31306,Redondo Beach,33.83847,-118.38521999999999,Entire home/apt,175
14098,"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",55411,Hollywood Hills,34.11959,-118.32056000000001,Entire home/apt,291
14124,Burnham Beach Cottage 2,31306,Redondo Beach,33.83984,-118.3871,Entire home/apt,175
14337,Beautiful Roomy Fully Equiped Private Master Suite,56327,Torrance,33.84042,-118.32061999999999,Private room,95
15089,*****Modern & Chic Spanish Bungalow @ Casa Redondo,59169,Mid-City,34.04244,-118.3522,Entire home/apt,123
15333,The Enchanted Manor-Private Oasis,60057,Valley Village,34.16701,-118.41118,Private room,438
18041,Bohemian home w/detached Studio & Rooftop Jacuzzi,69546,Venice,33.99179,-118.45056000000001,Entire home/apt,282
18067,Bohemian home w/rooftop jacuzzi  & tiki bar,69546,Venice,33.99065,-118.44962,Entire home/apt,214
19887,Eco-friendly Private Room in Silverlake House,75052,Silver Lake,34.08521,-118.28338000000001,Private room,75
20585,"Private Studio, 6 Doors to Beach",77857,Venice,33.98065,-118.46518999999999,Entire home/apt,124
20786,Mondrian-Inspired Studio With Breathtaking Views And Light,55411,Hollywood Hills,34.11939,-118.32043999999999,Entire home/apt,199
22355,"Experience Angeleno Magazine's ""Best Rental In Hills""",55411,Hollywood Hills,34.11821,-118.32178,Entire home/apt,165
23363,Silver Lake foothills studio with huge deck,91335,Silver Lake,34.103120000000004,-118.25778000000001,Entire home/apt,105
23710,Green Sputnik in Highland Park,94038,Highland Park,34.12003,-118.19038,Entire home/apt,118
23925,Cactus Flower - Modernist Solar Guesthouse with Large Garden,95543,Venice,34.00416,-118.46602,Entire home/apt,297
23979,Sleek New York Style Loft With Jaw-Dropping Hollywood Views,55411,Hollywood Hills,34.11861,-118.32019,Entire home/apt,178
